field,precision,recall,f1
documentation_type,0.87248322147651,0.7202216066481995,0.7890743550834597
number,0.9896373056994818,0.5584795321637427,0.7140186915887851
area,0.9791666666666666,0.5595238095238095,0.712121212121212
parcel_references,0.7818791946308725,0.6454293628808865,0.7071320182094083
area_unit,0.9893617021276596,0.5454545454545454,0.7032136105860112
category,0.9666666666666668,0.5272727272727272,0.6823529411764705
ownership,0.8532608695652174,0.5376712328767124,0.6596638655462185
purpose_code,0.6971428571428572,0.6069651741293532,0.648936170212766
