field,precision,recall,f1
area_unit,0.9702380952380952,0.953216374269006,0.9616519174041298
number,0.9588235294117649,0.953216374269006,0.9560117302052784
area,0.949404761904762,0.9465875370919882,0.9479940564635958
category,0.933933933933934,0.933933933933934,0.933933933933934
documentation_type,0.8935064935064935,0.9529085872576176,0.9222520107238604
ownership,0.9164086687306502,0.9192546583850932,0.9178294573643412
purpose_code,0.8,0.8794326241134752,0.8378378378378379
parcel_references,0.7818181818181819,0.8337950138504155,0.8069705093833781
