field,precision,recall,f1
number,0.952247191011236,0.9912280701754386,0.97134670487106
area,0.9241573033707864,0.9733727810650888,0.9481268011527376
area_unit,0.952112676056338,0.9883040935672516,0.96987087517934
purpose_code,0.9329268292682928,0.9329268292682928,0.9329268292682928
category,0.93841642228739,0.943952802359882,0.9411764705882352
ownership,0.8815028901734104,0.9682539682539684,0.9228441754916792
parcel_references,0.8449197860962567,0.8753462603878116,0.8598639455782314
documentation_type,0.9251336898395722,0.9584487534626038,0.941496598639456
