field,precision,recall,f1,true_positives,false_positives,false_negatives
number,0.9588235294117647,0.9532163742690059,0.9560117302052785,326,14,16
area,0.9494047619047619,0.9465875370919882,0.9479940564635958,319,17,18
area_unit,0.9702380952380952,0.9532163742690059,0.9616519174041298,326,10,16
purpose_code,0.8,0.8794326241134752,0.8378378378378379,248,62,34
category,0.933933933933934,0.933933933933934,0.933933933933934,311,22,22
ownership,0.9164086687306502,0.9192546583850931,0.9178294573643412,296,27,26
parcel_references,0.7818181818181819,0.8337950138504155,0.8069705093833781,301,84,60
documentation_type,0.8935064935064935,0.9529085872576177,0.9222520107238604,344,41,17
