field,precision,recall,f1,true_positives,false_positives,false_negatives
number,0.9623188405797102,0.9707602339181286,0.9665211062590976,332,13,10
area,0.9271137026239067,0.9436201780415431,0.9352941176470587,318,25,19
area_unit,0.9650145772594753,0.9678362573099415,0.9664233576642335,331,12,11
purpose_code,0.9772727272727273,0.8931750741839762,0.9333333333333332,301,7,36
category,0.9359756097560976,0.9136904761904762,0.9246987951807228,307,21,29
ownership,0.8017751479289941,0.9033333333333333,0.8495297805642632,271,67,29
parcel_references,0.8301886792452831,0.853185595567867,0.8415300546448087,308,63,53
documentation_type,0.9137466307277629,0.9390581717451524,0.9262295081967213,339,32,22
