field,precision,recall,f1,true_positives,false_positives,false_negatives
number,0.952247191011236,0.9912280701754386,0.9713467048710601,339,17,3
area,0.9241573033707865,0.9733727810650887,0.9481268011527376,329,27,9
area_unit,0.952112676056338,0.9883040935672515,0.96987087517934,338,17,4
purpose_code,0.9329268292682927,0.9329268292682927,0.9329268292682927,306,22,22
category,0.9384164222873901,0.943952802359882,0.9411764705882353,320,21,19
ownership,0.8815028901734104,0.9682539682539683,0.9228441754916793,305,41,10
parcel_references,0.8449197860962567,0.8753462603878116,0.8598639455782314,316,58,45
documentation_type,0.9251336898395722,0.9584487534626038,0.9414965986394559,346,28,15
