field,precision,recall,f1,true_positives,false_positives,false_negatives
number,0.9573863636363636,0.9853801169590644,0.9711815561959654,337,15,5
area,0.9314285714285714,0.9644970414201184,0.9476744186046512,326,24,12
area_unit,0.9565217391304348,0.9649122807017544,0.9606986899563318,330,15,12
purpose_code,0.9341692789968652,0.8948948948948949,0.9141104294478527,298,21,35
category,0.9308943089430894,0.6735294117647059,0.7815699658703072,229,17,111
ownership,0.887240356083086,0.9285714285714286,0.9074355083459786,299,38,23
parcel_references,0.788659793814433,0.8476454293628809,0.8170894526034713,306,82,55
documentation_type,0.8737113402061856,0.9390581717451524,0.9052069425901201,339,49,22
