field,precision,recall,f1,true_positives,false_positives,false_negatives
number,0.9536231884057971,0.9619883040935673,0.9577874818049491,329,16,13
area,0.9502923976608187,0.9672619047619048,0.9587020648967551,325,17,11
area_unit,0.9536231884057971,0.9648093841642229,0.9591836734693878,329,16,12
purpose_code,0.9559322033898305,0.8468468468468469,0.8980891719745223,282,13,51
category,0.9242902208201893,0.8746268656716418,0.8987730061349694,293,24,42
ownership,0.9143730886850153,0.9256965944272446,0.92,299,28,24
parcel_references,0.8010471204188482,0.8476454293628809,0.8236877523553163,306,76,55
documentation_type,0.900523560209424,0.9529085872576177,0.9259757738896365,344,38,17
