field,precision,recall,f1,true_positives,false_positives,false_negatives
number,0.9175824175824175,0.9766081871345029,0.9461756373937676,334,30,8
area,0.8812154696132597,0.9494047619047619,0.9140401146131805,319,43,17
area_unit,0.9226519337016574,0.9794721407624634,0.9502133712660029,334,28,7
purpose_code,0.7053291536050157,0.8620689655172413,0.7758620689655172,225,94,36
category,0.8714285714285714,0.5479041916167665,0.6727941176470589,183,27,151
ownership,0.6945244956772334,0.8141891891891891,0.7496111975116642,241,106,55
parcel_references,0.7445255474452555,0.8476454293628809,0.7927461139896372,306,105,55
documentation_type,0.8345498783454988,0.9501385041551247,0.88860103626943,343,68,18
