field,precision,recall,f1,true_positives,false_positives,false_negatives
number,0.9856115107913669,0.40058479532163743,0.5696465696465697,137,2,205
area,0.9637681159420289,0.39820359281437123,0.5635593220338982,133,5,201
area_unit,0.9849624060150376,0.3864306784660767,0.5550847457627118,131,2,208
category,0.984251968503937,0.3799392097264438,0.5482456140350878,125,2,204
ownership,0.8888888888888888,0.39436619718309857,0.5463414634146341,112,14,172
parcel_references,0.839572192513369,0.43490304709141275,0.572992700729927,157,30,204
documentation_type,0.9572192513368984,0.49584487534626037,0.6532846715328468,179,8,182
purpose_code,1.0,0.5555555555555556,0.7142857142857143,120,0,96
