field,precision,recall,f1
number,0.9623188405797102,0.9707602339181286,0.9665211062590976
area,0.9271137026239068,0.9436201780415432,0.9352941176470588
area_unit,0.9650145772594751,0.9678362573099416,0.9664233576642336
purpose_code,0.9772727272727272,0.8931750741839762,0.9333333333333332
category,0.9359756097560976,0.9136904761904762,0.9246987951807228
ownership,0.8017751479289941,0.9033333333333332,0.8495297805642632
parcel_references,0.8301886792452831,0.853185595567867,0.8415300546448087
documentation_type,0.9137466307277629,0.9390581717451524,0.9262295081967212
