txt_path,author,document_url
results_for_evaluation/028bffa2-3b89-2a3a-ee4f-5f88ed4fa6d3.txt,"Шабівська громада. Одеська область, Білгород-Дністровський район",https://rada.info/upload/users_files/04378043/docs/bd643dc785f0aa1bb2cb093215d4414b.docx#a85486ecfac356ce870057d468cbf5e3
results_for_evaluation/02ca2334-e1ac-7278-c624-1dd7bfc3194f.txt,"Гайворонська громада. Кіровоградська область, Голованівський район",https://rada.info/upload/users_files/04055297/docs/18e7fb9f780b53f77b6d88c268fc9bef.pdf#082da6543ce35540d707258b6b1106cb
results_for_evaluation/02cd1061-eaad-0cdd-191f-5f03592e4442.txt,"Жашківська громада. Черкаська область, Уманський район",https://rada.info/upload/users_files/36000377/docs/b3f81f9939a72f9293fcb2762512a23c.doc#ccb751cb5e51c214ae3fb2351c5eba45
results_for_evaluation/02d0c54c-8ba2-b7a8-c907-44f385d21df2.txt,"Студенянська громада. Вінницька область, Тульчинський район",https://rada.info/upload/users_files/04327554/docs/7a068cb84ce8a6ab051b0e22fa36a90c.docx#c5110693e8fdeb152447ae5603433650
results_for_evaluation/02e21285-0787-5bf1-29be-86e5bf2ad4ce.txt,"Згурівська громада. Київська область, Броварський район",https://rada.info/upload/users_files/04360296/docs/b7a7671b6d575bd1a5b1933194c3e63a.docx#417524e42c44d5a0ba8c2c13a7ee3a64
results_for_evaluation/02e3cde9-6885-6c80-2aac-028c785a12fe.txt,"Чемеровецька громада. Хмельницька область, Кам’янець-Подільський район",https://rada.info/upload/users_files/04403930/docs/fbe10d75c0204188b72d5926fdd96798.doc#db5b61d5bb6bab0fc8235dcb92d61314
results_for_evaluation/02ee1567-eb43-daae-dc2f-74f3daf2f721.txt,Якушинецька територіальна громада,https://yakushynecka-gromada.gov.ua/sites/yakushynecka-gromada.gov.ua/files/document_files/4b278a8a4fe668583468024498f245e5.rar#зат. проекту Мазуренко О.В.docx
results_for_evaluation/038548e6-9c0c-76f5-6de0-e2cac5b96366.txt,"Гайворонська громада. Кіровоградська область, Голованівський район",https://rada.info/upload/users_files/04055297/docs/c889d4b17202934f79cc0060bf205db0.pdf#bf5577ac8592a013b93d474348e9d0df
results_for_evaluation/03cc80a6-a1b2-2eaa-a6ff-898a735486d3.txt,"Вапнярська громада. Вінницька область, Тульчинський район",https://rada.info/upload/users_files/04325911/docs/221613e6aff13e207ef1a93fcd15c875.docx#e70e7e1f4dd3acba942d58d950650463
results_for_evaluation/03d33abb-a028-b6c4-a29d-e9c59b6718c5.txt,"Турківська громада. Львівська область, Самбірський район",https://rada.info/upload/users_files/04056026/docs/d0bb97e4bc58461a56613dc40b183b5a.docx#59f96a78fa95edc5691202a69df61d82
results_for_evaluation/03de0a10-b3df-0237-a7a5-852ae5a23caf.txt,"Пришибська громада. Полтавська область, Кременчуцький район",https://rada.info/upload/users_files/21062749/docs/e7abf822ec1c2dcec57043d31f931d47.docx#16222be49828bf160083fde380f02a50
results_for_evaluation/0414da66-f466-3b00-8b0b-1bbebe08a2ca.txt,"Благовіщенська громада. Кіровоградська область, Голованівський район",https://rada.info/upload/users_files/05402697/docs/d967a37ce4206d76b1b3153d8b734c87.doc#f5c37cdb750627e037c4307889cb90e5
