field,precision,recall,f1
number,0.9856115107913668,0.4005847953216374,0.5696465696465697
area,0.9637681159420288,0.3982035928143712,0.5635593220338982
area_unit,0.9849624060150376,0.3864306784660767,0.5550847457627118
category,0.984251968503937,0.3799392097264438,0.5482456140350878
ownership,0.8888888888888888,0.3943661971830985,0.5463414634146341
parcel_references,0.839572192513369,0.4349030470914127,0.572992700729927
documentation_type,0.9572192513368984,0.4958448753462603,0.6532846715328468
purpose_code,1.0,0.5555555555555556,0.7142857142857143
