field,precision,recall,f1
number,0.9175824175824177,0.9766081871345028,0.9461756373937676
area,0.8812154696132597,0.949404761904762,0.9140401146131804
area_unit,0.9226519337016574,0.9794721407624634,0.9502133712660028
purpose_code,0.7053291536050157,0.8620689655172413,0.7758620689655172
category,0.8714285714285714,0.5479041916167665,0.6727941176470589
ownership,0.6945244956772334,0.8141891891891891,0.7496111975116642
parcel_references,0.7445255474452555,0.8476454293628809,0.7927461139896372
documentation_type,0.8345498783454988,0.9501385041551248,0.88860103626943
