field,precision,recall,f1
number,0.9536231884057972,0.9619883040935672,0.9577874818049492
area,0.9502923976608189,0.9672619047619048,0.9587020648967552
area_unit,0.9536231884057972,0.9648093841642228,0.9591836734693878
purpose_code,0.9559322033898304,0.8468468468468469,0.8980891719745223
category,0.9242902208201892,0.8746268656716418,0.8987730061349694
ownership,0.9143730886850152,0.9256965944272446,0.92
parcel_references,0.8010471204188482,0.8476454293628809,0.8236877523553163
documentation_type,0.900523560209424,0.9529085872576176,0.9259757738896364
