,precision,recall,f1
openai_gpt-4o,0.9189270985129103,0.9539791948175422,0.935956550096129
deepseek_deepseek-chat,0.9141757394242447,0.9230824150363023,0.9179450066862799
openai_gpt-4.1-mini-2025-04-14,0.9192131209994651,0.9177229895732408,0.9177748655656921
openai_gpt-4.1-2025-04-14,0.9005167080679852,0.921543137896317,0.9105601816645444
xai_grok-3-latest,0.9075014690298786,0.8998110969274999,0.9006208704518348
openai_gpt-4o-mini,0.8214759334248637,0.8659289212053664,0.8362554572070322
gemini_gemini-2.5-flash-preview-05-20,0.8911998104969915,0.5876272488687471,0.7020641080655414
xai_grok-3-mini-beta,0.9505342917489408,0.43072849393810697,0.5904301001801737
